code,title,timing,scope,severity,score,invasive,taxonid_iucn
1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,,58794
1.2,Commercial & industrial areas,"Past, Unlikely to Return",Minority (<50%),,Past Impact,,58794
1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,,133226
11.3,Temperature extremes,Ongoing,,,Low Impact: 3,,133226
11.4,Storms & flooding,Ongoing,,,Low Impact: 3,,133226
1.2,Commercial & industrial areas,Ongoing,,,Low Impact: 3,,133226
1.3,Tourism & recreation areas,Ongoing,,,Low Impact: 3,,133226
4.3,Shipping lanes,Ongoing,,,Low Impact: 3,,133226
5.4,Fishing & harvesting aquatic resources,Ongoing,,,Low Impact: 3,,133226
5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,,133226
5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,,133226
5.4.6,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,133226
6.1,Recreational activities,Ongoing,,,Low Impact: 3,,133226
8.1,Invasive non-native/alien species/diseases,Ongoing,,,Low Impact: 3,,133226
8.1.1,Unspecified species,Ongoing,,,Low Impact: 3,,133226
8.2,Problematic native species/diseases,Ongoing,,,Low Impact: 3,,133226
8.2.1,Unspecified species,Ongoing,,,Low Impact: 3,,133226
9.1,Domestic & urban waste water,Ongoing,,,Low Impact: 3,,133226
9.1.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,133226
9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,,133226
9.2.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,133226
9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,,133226
9.3.2,"Soil erosion, sedimentation",Ongoing,,,Low Impact: 3,,133226
9.3.4,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,133226
9.5,Air-borne pollutants,Ongoing,,,Low Impact: 3,,133226
9.5.3,Ozone,Ongoing,,,Low Impact: 3,,133226
2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",,,22688130
2.1.4,Scale Unknown/Unrecorded,Ongoing,Majority (50-90%),"Slow, Significant Declines",,,22688130
5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),Unknown,,,22688130
5.1.1,Intentional use (species is the target),Ongoing,Majority (50-90%),Unknown,,,22688130
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,12263
2.1.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,12263
3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,,12264
5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,,12264
5.1.3,Persecution/control,Ongoing,,,Low Impact: 3,,12264
6.1,Recreational activities,Ongoing,,,Low Impact: 3,,12264
5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,,12271
5.1.3,Persecution/control,Ongoing,,,Low Impact: 3,,12271
6.1,Recreational activities,Ongoing,,,Low Impact: 3,,12271
1.2,Commercial & industrial areas,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,22719912
5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,22719912
5.1,Hunting & trapping terrestrial animals,"Past, Unlikely to Return",Majority (50-90%),"Slow, Significant Declines",Past Impact,,22719912
5.1.1,Intentional use (species is the target),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,22719912
5.1.3,Persecution/control,"Past, Unlikely to Return",Majority (50-90%),"Slow, Significant Declines",Past Impact,,22719912
8.2,Problematic native species/diseases,Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,,22719912
8.2,Problematic native species/diseases (Passer montanus),Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,Passer montanus,22719912
8.2.2,Named species (Passer montanus),Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,Passer montanus,22719912
9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,22719912
9.3.4,Type Unknown/Unrecorded,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,22719912
5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,172494
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,172494
9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,172494
9.3.2,"Soil erosion, sedimentation",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,172494
9.3.3,Herbicides and pesticides,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,172494
1.1,Housing & urban areas,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12303
11.1,Habitat shifting & alteration,Future,Whole (>90%),Causing/Could cause fluctuations,Low Impact: 5,,12303
1.2,Commercial & industrial areas,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12303
1.3,Tourism & recreation areas,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,,12303
3.2,Mining & quarrying,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12303
5.1,Hunting & trapping terrestrial animals,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12303
5.1.1,Intentional use (species is the target),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12303
5.3,Logging & wood harvesting,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
5.3.5,Motivation Unknown/Unrecorded,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
5.4,Fishing & harvesting aquatic resources,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
5.4.5,Persecution/control,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
6.1,Recreational activities,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,12303
6.3,Work & other activities,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12303
9.1,Domestic & urban waste water,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
9.1.3,Type Unknown/Unrecorded,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
9.2,Industrial & military effluents,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
9.2,Industrial & military effluents,Ongoing,Majority (50-90%),Very Rapid Declines,High Impact: 8,,12303
9.2.1,Oil spills,Ongoing,Majority (50-90%),Very Rapid Declines,High Impact: 8,,12303
9.2.3,Type Unknown/Unrecorded,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12303
9.4,Garbage & solid waste,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12303
1.1,Housing & urban areas,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12305
1.2,Commercial & industrial areas,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12305
12.1,Other threat,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
1.3,Tourism & recreation areas,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12305
2.1,Annual & perennial non-timber crops,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12305
2.1.2,Small-holder farming,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12305
2.1.3,Agro-industry farming,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12305
2.2,Wood & pulp plantations,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12305
2.2.2,Agro-industry plantations,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12305
2.3,Livestock farming & ranching,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,12305
2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,12305
2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,12305
2.4,Marine & freshwater aquaculture,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12305
2.4.3,Scale Unknown/Unrecorded,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12305
5.1,Hunting & trapping terrestrial animals,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12305
5.1.1,Intentional use (species is the target),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,,12305
5.4,Fishing & harvesting aquatic resources,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,12305
5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,12305
7.2,Dams & water management/use,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
7.2.11,Dams (size unknown),Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
7.2.2,Abstraction of surface water (commercial use),Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
7.2.3,Abstraction of surface water (agricultural use),Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
7.3,Other ecosystem modifications,Future,Majority (50-90%),Causing/Could cause fluctuations,Low Impact: 4,,12305
8.5,Viral/prion-induced diseases,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,12305
8.5.2,Named species,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,12305
9.1,Domestic & urban waste water,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
9.1.1,Sewage,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
9.1.2,Run-off,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
9.1.3,Type Unknown/Unrecorded,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
9.3,Agricultural & forestry effluents,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,12305
9.3.2,"Soil erosion, sedimentation",Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,12305
9.3.4,Type Unknown/Unrecorded,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
9.4,Garbage & solid waste,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12305
5.4,Fishing & harvesting aquatic resources,Ongoing,Unknown,Unknown,Unknown,,16545046
5.4.2,Intentional use: (large scale) [harvest],Ongoing,Unknown,Unknown,Unknown,,16545046
9.1,Domestic & urban waste water,Ongoing,Unknown,Unknown,Unknown,,16545046
9.1.2,Run-off,Ongoing,Unknown,Unknown,Unknown,,16545046
5.3,Logging & wood harvesting,"Past, Likely to Return",Whole (>90%),Unknown,Past Impact,,47992974
5.3.4,Unintentional effects: (large scale) [harvest],"Past, Likely to Return",Whole (>90%),Unknown,Past Impact,,47992974
2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,,45056
2.1.2,Small-holder farming,Ongoing,,,Low Impact: 3,,45056
2.3,Livestock farming & ranching,Ongoing,,,Low Impact: 3,,45056
2.3.2,"Small-holder grazing, ranching or farming",Ongoing,,,Low Impact: 3,,45056
5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,,45056
5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,,45056
2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,,47992992
2.1.2,Small-holder farming,Ongoing,Unknown,Unknown,Unknown,,47992992
5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,,47992992
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Unknown,Unknown,Unknown,,47992992
1.1,Housing & urban areas,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,12375
2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,12375
2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,12375
2.1.2,Small-holder farming,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,12375
2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,12375
4.1,Roads & railroads,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12375
4.2,Utility & service lines,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,,12375
5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12375
5.1.1,Intentional use (species is the target),Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,12375
3.1,Oil & gas drilling,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,22684586
5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,22684586
5.1.1,Intentional use (species is the target),Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,22684586
5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,22684586
5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,22684586
7.2,Dams & water management/use,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,,22684586
7.2.11,Dams (size unknown),Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,,22684586
2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,22720651
2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,,22720651
2.1.2,Small-holder farming,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,22720651
2.1.3,Agro-industry farming,Ongoing,Unknown,Unknown,Unknown,,22720651
5.3,Logging & wood harvesting,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,22720651
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,22720651
7.1,Fire & fire suppression,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,22720651
7.1.3,Trend Unknown/Unrecorded,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,22720651
8.1,Invasive non-native/alien species/diseases (Molothrus bonariensis),Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,Molothrus bonariensis,22720651
8.1.2,Named species (Molothrus bonariensis),Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,Molothrus bonariensis,22720651
1.1,Housing & urban areas,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
11.2,Droughts,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,181008073
11.5,Other impacts,Ongoing,Whole (>90%),Unknown,Unknown,,181008073
1.2,Commercial & industrial areas,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
1.3,Tourism & recreation areas,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Unknown,Unknown,,181008073
2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),Unknown,Unknown,,181008073
2.1.2,Small-holder farming,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
2.1.3,Agro-industry farming,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
2.2,Wood & pulp plantations,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,181008073
2.2,Wood & pulp plantations,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
2.2.1,Small-holder plantations,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
2.2.2,Agro-industry plantations,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,181008073
2.3,Livestock farming & ranching,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,181008073
2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,181008073
2.3.1,Nomadic grazing,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,181008073
2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,181008073
2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,181008073
3.1,Oil & gas drilling,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,181008073
3.2,Mining & quarrying,Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,,181008073
4.1,Roads & railroads,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,181008073
4.2,Utility & service lines,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,,181008073
5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,,181008073
5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,181008073
5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,181008073
5.1.1,Intentional use (species is the target),Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,,181008073
5.1.2,Unintentional effects (species is not the target),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,,181008073
5.1.3,Persecution/control,Ongoing,Majority (50-90%),Negligible declines,Low Impact: 5,,181008073
5.3,Logging & wood harvesting,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,,181008073
5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),Unknown,Unknown,,181008073
6.1,Recreational activities,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
6.2,"War, civil unrest & military exercises",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,181008073
7.1,Fire & fire suppression,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
7.1.3,Trend Unknown/Unrecorded,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
7.2,Dams & water management/use,Ongoing,Minority (<50%),Unknown,Unknown,,181008073
7.2.11,Dams (size unknown),Ongoing,Minority (<50%),Unknown,Unknown,,181008073
8.1,Invasive non-native/alien species/diseases,Ongoing,,Unknown,Unknown,,181008073
8.1.1,Unspecified species,Ongoing,,Unknown,Unknown,,181008073
2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,103823991
2.1.2,Small-holder farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,103823991
2.3,Livestock farming & ranching,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,103823991
2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,103823991
5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,103823991
5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,,103823991
8.1,Invasive non-native/alien species/diseases (Felis catus),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,Felis catus,103823991
8.1,Invasive non-native/alien species/diseases (Herpestes auropunctatus),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,Herpestes auropunctatus,103823991
8.1,Invasive non-native/alien species/diseases (Plasmodium relictum),Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,Plasmodium relictum,103823991
8.1,Invasive non-native/alien species/diseases (Sus domesticus),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,Sus domesticus,103823991
8.1,Invasive non-native/alien species/diseases (Tyto alba),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,Tyto alba,103823991
8.1,Invasive non-native/alien species/diseases (Unspecified FORMICIDAE),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,Unspecified FORMICIDAE,103823991
8.1,Invasive non-native/alien species/diseases (Unspecified Rattus),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,Unspecified Rattus,103823991
8.1,Invasive non-native/alien species/diseases (Vespula germanica),Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,Vespula germanica,103823991
8.1,Invasive non-native/alien species/diseases (Zosterops japonicus_old),Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,Zosterops japonicus_old,103823991
