taxonid_iucn,code,title,timing,scope,severity,score,invasive
57078,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,,
178588,2.3,Livestock farming & ranching,Ongoing,,,Low Impact: 3,
178588,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,,,Low Impact: 3,
178588,3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,
178588,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
178588,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,
103897825,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
103897825,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
103897825,7.3,Other ecosystem modifications,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
59271,1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,
59271,3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,
59271,4.1,Roads & railroads,Ongoing,,,Low Impact: 3,
59275,1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,
59275,11.2,Droughts,Future,,,No/Negligible Impact: 1,
59275,9.1,Domestic & urban waste water,Ongoing,,,Low Impact: 3,
59275,9.1.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
22708058,11.1,Habitat shifting & alteration,Future,Whole (>90%),Rapid Declines,Medium Impact: 6,
22708058,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
22708058,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
22708058,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22708058,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
176204,1.3,Tourism & recreation areas,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
176204,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Very Rapid Declines,High Impact: 8,
176204,2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),Very Rapid Declines,High Impact: 8,
176204,7.1,Fire & fire suppression,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,
176204,7.1.1,Increase in fire frequency/intensity,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,
176204,8.1,Invasive non-native/alien species/diseases (Felis catus),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Felis catus
176204,8.1,Invasive non-native/alien species/diseases (Rattus rattus),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Rattus rattus
176204,8.1,Invasive non-native/alien species/diseases (Rusa timorensis),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Rusa timorensis
176204,8.1,Invasive non-native/alien species/diseases (Wasmannia auropunctata),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Wasmannia auropunctata
176204,8.1.2,Named species (Felis catus),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Felis catus
176204,8.1.2,Named species (Rattus rattus),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Rattus rattus
176204,8.1.2,Named species (Rusa timorensis),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Rusa timorensis
176204,8.1.2,Named species (Wasmannia auropunctata),Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,Wasmannia auropunctata
172706,1.1,Housing & urban areas,Ongoing,Majority (50-90%),Unknown,Unknown,
172706,1.2,Commercial & industrial areas,Unknown,Unknown,Unknown,Unknown,
172706,1.3,Tourism & recreation areas,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
196478,11.1,Habitat shifting & alteration,Ongoing,Whole (>90%),Causing/Could cause fluctuations,Medium Impact: 7,
197941,8.1,Invasive non-native/alien species/diseases (Eichhornia crassipes),Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,Eichhornia crassipes
197941,8.1.2,Named species (Eichhornia crassipes),Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,Eichhornia crassipes
197941,9.1,Domestic & urban waste water,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
197941,9.1.1,Sewage,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
197941,9.2,Industrial & military effluents,Ongoing,Whole (>90%),Very Rapid Declines,High Impact: 9,
197941,9.2.1,Oil spills,Ongoing,Whole (>90%),Very Rapid Declines,High Impact: 9,
197941,9.4,Garbage & solid waste,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,
8415,1.1,Housing & urban areas,Ongoing,Unknown,Unknown,Unknown,
8415,5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,
8415,5.3.5,Motivation Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
19673834,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19673834,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19673834,5.3,Logging & wood harvesting,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19673834,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
107435116,1.1,Housing & urban areas,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
107435116,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
107435116,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
107435116,3.2,Mining & quarrying,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
107435116,4.1,Roads & railroads,Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,
107435116,5.3,Logging & wood harvesting,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
107435116,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19673701,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19673701,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19673701,5.3,Logging & wood harvesting,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
19673701,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
41810,5.4,Fishing & harvesting aquatic resources,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
41810,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
41810,5.4.2,Intentional use: (large scale) [harvest],Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
41810,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
41810,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
184564,11.2,Droughts,Future,,,No/Negligible Impact: 1,
184564,9.2,Industrial & military effluents,Future,,,No/Negligible Impact: 1,
184564,9.2.3,Type Unknown/Unrecorded,Future,,,No/Negligible Impact: 1,
184564,9.3,Agricultural & forestry effluents,Future,,,No/Negligible Impact: 1,
184564,9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,
184564,9.3.2,"Soil erosion, sedimentation",Ongoing,,,Low Impact: 3,
184564,9.3.4,Type Unknown/Unrecorded,Future,,,No/Negligible Impact: 1,
89579216,1.3,Tourism & recreation areas,Ongoing,Unknown,Rapid Declines,Unknown,
89579216,3.2,Mining & quarrying,Ongoing,Majority (50-90%),Very Rapid Declines,High Impact: 8,
89579216,9.2,Industrial & military effluents,Ongoing,Unknown,Unknown,Unknown,
89579216,9.2.1,Oil spills,Ongoing,Unknown,Unknown,Unknown,
89579216,9.4,Garbage & solid waste,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22695336,11.1,Habitat shifting & alteration,Ongoing,Whole (>90%),Rapid Declines,High Impact: 8,
22695336,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
22695336,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
22695336,3.2,Mining & quarrying,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22695336,5.1,Hunting & trapping terrestrial animals,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22695336,5.1,Hunting & trapping terrestrial animals,Ongoing,Unknown,Unknown,Unknown,
22695336,5.1.2,Unintentional effects (species is not the target),Ongoing,Unknown,Unknown,Unknown,
22695336,5.1.3,Persecution/control,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22695336,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22695336,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22695336,6.3,Work & other activities,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
22695336,7.1,Fire & fire suppression,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
22695336,7.1.1,Increase in fire frequency/intensity,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
174131,1.3,Tourism & recreation areas,Ongoing,Whole (>90%),Unknown,Unknown,
174131,3.2,Mining & quarrying,Ongoing,Majority (50-90%),Unknown,Unknown,
174131,7.2,Dams & water management/use,"Past, Unlikely to Return",,,Past Impact,
174131,7.2.10,Large dams,"Past, Unlikely to Return",,,Past Impact,
172599,1.3,Tourism & recreation areas,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
172599,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
172599,2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
172599,3.2,Mining & quarrying,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
172599,4.1,Roads & railroads,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
172599,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
172599,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
102345892,3.2,Mining & quarrying,Ongoing,Unknown,Unknown,Unknown,
141482238,1.1,Housing & urban areas,Ongoing,Unknown,Unknown,Unknown,
141482238,11.4,Storms & flooding,Ongoing,Unknown,Unknown,Unknown,
141483602,11.1,Habitat shifting & alteration,Ongoing,Unknown,Unknown,Unknown,
141483602,9.1,Domestic & urban waste water,Ongoing,Unknown,Unknown,Unknown,
141483602,9.1.2,Run-off,Ongoing,Unknown,Unknown,Unknown,
59034974,5.4,Fishing & harvesting aquatic resources,Ongoing,Unknown,Unknown,Unknown,
59034974,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,Unknown,Unknown,Unknown,
59034974,5.4.2,Intentional use: (large scale) [harvest],Ongoing,Unknown,Unknown,Unknown,
78500583,3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,
78500583,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
78500583,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,
78500583,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,
78500583,9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,
78500583,9.2.2,Seepage from mining,Ongoing,,,Low Impact: 3,
55193,1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,
55193,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
55193,2.1.2,Small-holder farming,Ongoing,,,Low Impact: 3,
55193,2.3,Livestock farming & ranching,Ongoing,,,Low Impact: 3,
55193,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,,,Low Impact: 3,
55193,5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,
55193,5.1.1,Intentional use (species is the target),Ongoing,,,Low Impact: 3,
55414,1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,
55414,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
55414,2.1.2,Small-holder farming,Ongoing,,,Low Impact: 3,
55414,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
55414,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,
55444,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
55444,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,
55595,1.1,Housing & urban areas,Ongoing,Unknown,Unknown,Unknown,
55595,11.2,Droughts,Ongoing,,,Low Impact: 3,
55595,2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,
55595,2.1.2,Small-holder farming,Ongoing,Unknown,Unknown,Unknown,
55595,2.3,Livestock farming & ranching,Ongoing,,,Low Impact: 3,
55595,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,,,Low Impact: 3,
55595,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
55595,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,
55595,7.2,Dams & water management/use,Ongoing,,,Low Impact: 3,
55595,7.2.1,Abstraction of surface water (domestic use),Ongoing,,,Low Impact: 3,
55595,7.2.11,Dams (size unknown),Ongoing,,,Low Impact: 3,
55595,7.2.3,Abstraction of surface water (agricultural use),Ongoing,,,Low Impact: 3,
55595,8.1,Invasive non-native/alien species/diseases (Batrachochytrium dendrobatidis),Ongoing,Whole (>90%),,Medium Impact: 6,Batrachochytrium dendrobatidis
55595,8.1.2,Named species (Batrachochytrium dendrobatidis),Ongoing,Whole (>90%),,Medium Impact: 6,Batrachochytrium dendrobatidis
22696495,1.1,Housing & urban areas,Ongoing,Minority (<50%),Unknown,Unknown,
22696495,12.1,Other threat,Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,
22696495,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
22696495,2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
22696495,2.2,Wood & pulp plantations,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22696495,2.2.3,Scale Unknown/Unrecorded,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22696495,4.2,Utility & service lines,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
22696495,5.1,Hunting & trapping terrestrial animals,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
22696495,5.1,Hunting & trapping terrestrial animals,Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,
22696495,5.1.1,Intentional use (species is the target),Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
22696495,5.1.2,Unintentional effects (species is not the target),Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,
22696495,5.1.3,Persecution/control,Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,
22696495,7.2,Dams & water management/use,Future,Minority (<50%),Unknown,Unknown,
22696495,7.2.10,Large dams,Future,Minority (<50%),Unknown,Unknown,
22696495,7.3,Other ecosystem modifications,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22696495,9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22696495,9.3,Agricultural & forestry effluents,Ongoing,Minority (<50%),Unknown,Unknown,
22696495,9.3.3,Herbicides and pesticides,Ongoing,Minority (<50%),Unknown,Unknown,
22696495,9.3.4,Type Unknown/Unrecorded,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22696373,2.1,Annual & perennial non-timber crops,"Past, Unlikely to Return",Majority (50-90%),No decline,Past Impact,
22696373,2.1.2,Small-holder farming,"Past, Unlikely to Return",Majority (50-90%),No decline,Past Impact,
22696373,5.3,Logging & wood harvesting,"Past, Unlikely to Return",Majority (50-90%),No decline,Past Impact,
22696373,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],"Past, Unlikely to Return",Majority (50-90%),No decline,Past Impact,
22696373,8.1,Invasive non-native/alien species/diseases (Felis catus),Ongoing,Majority (50-90%),No decline,Low Impact: 5,Felis catus
22696373,8.1,Invasive non-native/alien species/diseases (Herpestes javanicus_old),Ongoing,Majority (50-90%),No decline,Low Impact: 5,Herpestes javanicus_old
22696373,8.1,Invasive non-native/alien species/diseases (Macaca fascicularis),Ongoing,Majority (50-90%),No decline,Low Impact: 5,Macaca fascicularis
22696373,8.1,Invasive non-native/alien species/diseases (Rattus rattus),Ongoing,Majority (50-90%),No decline,Low Impact: 5,Rattus rattus
22696373,8.1.2,Named species (Felis catus),Ongoing,Majority (50-90%),No decline,Low Impact: 5,Felis catus
22696373,8.1.2,Named species (Herpestes javanicus_old),Ongoing,Majority (50-90%),No decline,Low Impact: 5,Herpestes javanicus_old
22696373,8.1.2,Named species (Macaca fascicularis),Ongoing,Majority (50-90%),No decline,Low Impact: 5,Macaca fascicularis
22696373,8.1.2,Named species (Rattus rattus),Ongoing,Majority (50-90%),No decline,Low Impact: 5,Rattus rattus
22696373,9.3,Agricultural & forestry effluents,"Past, Unlikely to Return",Whole (>90%),No decline,Past Impact,
22696373,9.3.3,Herbicides and pesticides,"Past, Unlikely to Return",Whole (>90%),No decline,Past Impact,
8494,2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,
8494,2.1.4,Scale Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
8494,2.3,Livestock farming & ranching,Ongoing,Unknown,Unknown,Unknown,
8494,2.3.4,Scale Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
8494,8.1,Invasive non-native/alien species/diseases (Cambarus robustus),Ongoing,Unknown,Unknown,Unknown,Cambarus robustus
8494,8.1,Invasive non-native/alien species/diseases (Orconectes rusticus),Ongoing,Unknown,Unknown,Unknown,Orconectes rusticus
8494,8.1,Invasive non-native/alien species/diseases (Procambarus clarkii),Ongoing,Unknown,Unknown,Unknown,Procambarus clarkii
8494,8.1.2,Named species (Cambarus robustus),Ongoing,Unknown,Unknown,Unknown,Cambarus robustus
8494,8.1.2,Named species (Orconectes rusticus),Ongoing,Unknown,Unknown,Unknown,Orconectes rusticus
8494,8.1.2,Named species (Procambarus clarkii),Ongoing,Unknown,Unknown,Unknown,Procambarus clarkii
8494,9.1,Domestic & urban waste water,Ongoing,Unknown,Unknown,Unknown,
8494,9.1.3,Type Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
8494,9.2,Industrial & military effluents,Ongoing,Unknown,Unknown,Unknown,
8494,9.2.3,Type Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
8494,9.3,Agricultural & forestry effluents,Ongoing,Unknown,Unknown,Unknown,
8494,9.3.4,Type Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
8494,9.5,Air-borne pollutants,Ongoing,Unknown,Unknown,Unknown,
8494,9.5.4,Type Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
164858,8.1,Invasive non-native/alien species/diseases (Mieniplotia scabra),Future,Unknown,Unknown,Unknown,Mieniplotia scabra
164858,8.1.2,Named species (Mieniplotia scabra),Future,Unknown,Unknown,Unknown,Mieniplotia scabra
164858,9.3,Agricultural & forestry effluents,Ongoing,Whole (>90%),Unknown,Unknown,
164858,9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,
164858,9.3.1,Nutrient loads,Ongoing,Whole (>90%),Unknown,Unknown,
164858,9.3.3,Herbicides and pesticides,Ongoing,,,Low Impact: 3,
164847,11.2,Droughts,Future,Majority (50-90%),Very Rapid Declines,Medium Impact: 6,
164847,9.3,Agricultural & forestry effluents,Ongoing,Whole (>90%),Unknown,Unknown,
164847,9.3.1,Nutrient loads,Ongoing,Whole (>90%),Unknown,Unknown,
164847,9.3.2,"Soil erosion, sedimentation",Ongoing,Whole (>90%),Unknown,Unknown,
164847,9.3.3,Herbicides and pesticides,Ongoing,Whole (>90%),Unknown,Unknown,
118039625,1.2,Commercial & industrial areas,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
118039625,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,
118039625,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Minority (<50%),Rapid Declines,Medium Impact: 6,
118039625,9.2,Industrial & military effluents,"Past, Likely to Return",Minority (<50%),"Slow, Significant Declines",Past Impact,
118039625,9.2.1,Oil spills,"Past, Likely to Return",Minority (<50%),"Slow, Significant Declines",Past Impact,
8550,8.1,Invasive non-native/alien species/diseases (Mylopharyngodon piceus),Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,Mylopharyngodon piceus
8550,8.1.2,Named species (Mylopharyngodon piceus),Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,Mylopharyngodon piceus
8550,9.3,Agricultural & forestry effluents,Ongoing,Whole (>90%),Unknown,Unknown,
8550,9.3.1,Nutrient loads,Ongoing,Whole (>90%),Unknown,Unknown,
8550,9.3.2,"Soil erosion, sedimentation",Ongoing,Whole (>90%),Unknown,Unknown,
8550,9.3.3,Herbicides and pesticides,Ongoing,Whole (>90%),Unknown,Unknown,
22711392,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
22711392,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22711392,2.1.2,Small-holder farming,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22711392,2.1.4,Scale Unknown/Unrecorded,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
22711392,7.1,Fire & fire suppression,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
22711392,7.1.1,Increase in fire frequency/intensity,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
22711392,8.1,Invasive non-native/alien species/diseases (Herpestes javanicus),Ongoing,Majority (50-90%),Unknown,Unknown,Herpestes javanicus
22711392,8.1,Invasive non-native/alien species/diseases (Melaleuca leucadendra),Ongoing,Unknown,Unknown,Unknown,Melaleuca leucadendra
22711392,8.1,Invasive non-native/alien species/diseases (Rattus norvegicus),Ongoing,Majority (50-90%),Unknown,Unknown,Rattus norvegicus
22711392,8.1,Invasive non-native/alien species/diseases (Rattus rattus),Ongoing,Majority (50-90%),Unknown,Unknown,Rattus rattus
22711392,8.1.2,Named species (Herpestes javanicus),Ongoing,Majority (50-90%),Unknown,Unknown,Herpestes javanicus
22711392,8.1.2,Named species (Melaleuca leucadendra),Ongoing,Unknown,Unknown,Unknown,Melaleuca leucadendra
22711392,8.1.2,Named species (Rattus norvegicus),Ongoing,Majority (50-90%),Unknown,Unknown,Rattus norvegicus
22711392,8.1.2,Named species (Rattus rattus),Ongoing,Majority (50-90%),Unknown,Unknown,Rattus rattus
8553,1.1,Housing & urban areas,Ongoing,,,,
8553,2.1,Annual & perennial non-timber crops,Ongoing,,,,
8553,2.1.2,Small-holder farming,Ongoing,,,,
8553,2.2,Wood & pulp plantations,Ongoing,,,,
8553,2.2.2,Agro-industry plantations,Ongoing,,,,
8553,5.3,Logging & wood harvesting,Ongoing,,,,
8553,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,,
8553,7.1,Fire & fire suppression,Ongoing,,,,
8553,7.1.3,Trend Unknown/Unrecorded,Ongoing,,,,
22709399,1.1,Housing & urban areas,Ongoing,Minority (<50%),Rapid Declines,,
