taxonid_iucn,code,title,timing,scope,severity,score,invasive
16109,7.2,Dams & water management/use,Ongoing,,,Low Impact: 3,
16109,7.2.11,Dams (size unknown),Ongoing,,,Low Impact: 3,
16109,7.2.8,Abstraction of ground water (unknown use),Ongoing,,,Low Impact: 3,
16109,8.1,Invasive non-native/alien species/diseases (Perca fluviatilis),Ongoing,,,Low Impact: 3,Perca fluviatilis
16109,8.1,Invasive non-native/alien species/diseases (Salmo trutta),Ongoing,,,Low Impact: 3,Salmo trutta
16109,8.1.2,Named species (Perca fluviatilis),Ongoing,,,Low Impact: 3,Perca fluviatilis
16109,8.1.2,Named species (Salmo trutta),Ongoing,,,Low Impact: 3,Salmo trutta
16109,9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,
16109,9.3.2,"Soil erosion, sedimentation",Ongoing,,,Low Impact: 3,
161707,1.1,Housing & urban areas,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,
161707,1.2,Commercial & industrial areas,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,
161707,2.4,Marine & freshwater aquaculture,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,
161707,2.4.1,Subsistence/artisinal aquaculture,Ongoing,Minority (<50%),Causing/Could cause fluctuations,Low Impact: 5,
161707,5.4,Fishing & harvesting aquatic resources,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
161707,5.4,Fishing & harvesting aquatic resources,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
161707,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
161707,5.4.2,Intentional use: (large scale) [harvest],Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
161707,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
161707,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
161543,1.1,Housing & urban areas,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
161543,1.2,Commercial & industrial areas,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
161543,5.4,Fishing & harvesting aquatic resources,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
161543,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
161543,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
172827,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
172827,2.1.1,Shifting agriculture,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
172827,5.3,Logging & wood harvesting,Ongoing,Unknown,Unknown,Unknown,
172827,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Unknown,Unknown,Unknown,
149166676,2.2,Wood & pulp plantations,Ongoing,Unknown,Unknown,Unknown,
149166676,2.2.3,Scale Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
149166647,12.1,Other threat,Ongoing,Unknown,Unknown,Unknown,
149166647,2.1,Annual & perennial non-timber crops,Ongoing,Unknown,Unknown,Unknown,
149166647,2.1.4,Scale Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
91216070,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
91216070,2.1.3,Agro-industry farming,Ongoing,,,Low Impact: 3,
91216070,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
91216070,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,
91216165,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
91216165,2.1.3,Agro-industry farming,Ongoing,,,Low Impact: 3,
91216165,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
91216165,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,
91216165,7.1,Fire & fire suppression,Ongoing,Unknown,Unknown,Unknown,
91216165,7.1.1,Increase in fire frequency/intensity,Ongoing,Unknown,Unknown,Unknown,
183769,11.1,Habitat shifting & alteration,Ongoing,,,Low Impact: 3,
183769,11.3,Temperature extremes,Ongoing,,,Low Impact: 3,
183769,5.4,Fishing & harvesting aquatic resources,Ongoing,,,Low Impact: 3,
183769,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,
183769,5.4.2,Intentional use: (large scale) [harvest],Ongoing,,,Low Impact: 3,
166017,9.2,Industrial & military effluents,Ongoing,Unknown,Unknown,Unknown,
166017,9.2.3,Type Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
166017,9.3,Agricultural & forestry effluents,Ongoing,Unknown,Unknown,Unknown,
166017,9.3.4,Type Unknown/Unrecorded,Ongoing,Unknown,Unknown,Unknown,
16121,5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,
16121,5.1.1,Intentional use (species is the target),Ongoing,,,Low Impact: 3,
16121,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
16121,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
136701,3.2,Mining & quarrying,Ongoing,,,,
136701,5.3,Logging & wood harvesting,Ongoing,,,,
136701,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,,
59459,2.1,Annual & perennial non-timber crops,Ongoing,,,,
59459,2.1.2,Small-holder farming,Ongoing,,,,
78531041,1.3,Tourism & recreation areas,Ongoing,Unknown,Unknown,Low Impact: 3,
78531041,3.3,Renewable energy,Ongoing,Unknown,Unknown,Low Impact: 3,
78531041,5.1,Hunting & trapping terrestrial animals,Ongoing,Unknown,Causing/Could cause fluctuations,Low Impact: 3,
78531041,5.1.1,Intentional use (species is the target),Ongoing,Unknown,Causing/Could cause fluctuations,Low Impact: 3,
78531041,8.1,Invasive non-native/alien species/diseases (Batrachochytrium salamandrivorans),Ongoing,Unknown,Unknown,Unknown,Batrachochytrium salamandrivorans
78531041,8.1.2,Named species (Batrachochytrium salamandrivorans),Ongoing,Unknown,Unknown,Unknown,Batrachochytrium salamandrivorans
78531041,9.4,Garbage & solid waste,Ongoing,,,Low Impact: 3,
78532178,1.3,Tourism & recreation areas,Ongoing,Unknown,Unknown,Low Impact: 3,
78532178,3.3,Renewable energy,Ongoing,Unknown,Unknown,Low Impact: 3,
78532178,5.1,Hunting & trapping terrestrial animals,Ongoing,Unknown,Unknown,Low Impact: 3,
78532178,5.1.1,Intentional use (species is the target),Ongoing,Unknown,Unknown,Low Impact: 3,
182709,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
182709,2.1.2,Small-holder farming,Ongoing,,,Low Impact: 3,
182709,3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,
182709,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
182709,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
182709,9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,
182709,9.2.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
182709,9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,
182709,9.3.2,"Soil erosion, sedimentation",Ongoing,,,Low Impact: 3,
196087,5.4,Fishing & harvesting aquatic resources,Ongoing,,,Low Impact: 3,
196087,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,
181873,3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,
182431,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
182431,2.1.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
182431,3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,
182431,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
182431,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
182431,9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,
182431,9.2.2,Seepage from mining,Ongoing,,,Low Impact: 3,
182431,9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,
182431,9.3.2,"Soil erosion, sedimentation",Ongoing,,,Low Impact: 3,
50148695,1.3,Tourism & recreation areas,Ongoing,Majority (50-90%),Unknown,Unknown,
68446564,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),Unknown,Unknown,
68446564,2.3.1,Nomadic grazing,Ongoing,Minority (<50%),Unknown,Unknown,
44697976,2.3,Livestock farming & ranching,Ongoing,Majority (50-90%),Unknown,Unknown,
44697976,2.3.2,"Small-holder grazing, ranching or farming",Ongoing,Majority (50-90%),Unknown,Unknown,
44697976,5.3,Logging & wood harvesting,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
44697976,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
44697976,7.1,Fire & fire suppression,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
44697976,7.1.3,Trend Unknown/Unrecorded,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
16138,7.1,Fire & fire suppression,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
16138,7.1.3,Trend Unknown/Unrecorded,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
16138,8.1,Invasive non-native/alien species/diseases (Felis catus),Ongoing,,,Low Impact: 3,Felis catus
16138,8.1,Invasive non-native/alien species/diseases (Phytophthora cinnamomi),Ongoing,,,Low Impact: 3,Phytophthora cinnamomi
16138,8.1,Invasive non-native/alien species/diseases (Unspecified Mus),Ongoing,,,Low Impact: 3,Unspecified Mus
16138,8.1,Invasive non-native/alien species/diseases (Vulpes vulpes),Ongoing,,,Low Impact: 3,Vulpes vulpes
16138,8.1.2,Named species (Felis catus),Ongoing,,,Low Impact: 3,Felis catus
16138,8.1.2,Named species (Phytophthora cinnamomi),Ongoing,,,Low Impact: 3,Phytophthora cinnamomi
16138,8.1.2,Named species (Unspecified Mus),Ongoing,,,Low Impact: 3,Unspecified Mus
16138,8.1.2,Named species (Vulpes vulpes),Ongoing,,,Low Impact: 3,Vulpes vulpes
172480,1.3,Tourism & recreation areas,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
172480,7.3,Other ecosystem modifications,Ongoing,Majority (50-90%),Causing/Could cause fluctuations,Medium Impact: 6,
173215,2.2,Wood & pulp plantations,Ongoing,,,Low Impact: 3,
173215,2.2.2,Agro-industry plantations,Ongoing,,,Low Impact: 3,
173215,7.3,Other ecosystem modifications,Ongoing,,,Low Impact: 3,
173215,8.1,Invasive non-native/alien species/diseases (Pararge aegeria),Ongoing,,,Low Impact: 3,Pararge aegeria
173215,8.1.2,Named species (Pararge aegeria),Ongoing,,,Low Impact: 3,Pararge aegeria
128724324,5.4,Fishing & harvesting aquatic resources,Ongoing,,,Low Impact: 3,
128724324,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,
128724324,7.2,Dams & water management/use,Ongoing,Unknown,Unknown,Unknown,
128724324,7.2.11,Dams (size unknown),Ongoing,Unknown,Unknown,Unknown,
128724324,7.2.4,Abstraction of surface water (unknown use),Ongoing,Unknown,Unknown,Unknown,
128724324,7.2.8,Abstraction of ground water (unknown use),Ongoing,Unknown,Unknown,Unknown,
133692,1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,
133692,11.3,Temperature extremes,Ongoing,,,Low Impact: 3,
133692,11.4,Storms & flooding,Ongoing,,,Low Impact: 3,
133692,1.2,Commercial & industrial areas,Ongoing,,,Low Impact: 3,
133692,1.3,Tourism & recreation areas,Ongoing,,,Low Impact: 3,
133692,4.3,Shipping lanes,Ongoing,,,Low Impact: 3,
133692,5.4,Fishing & harvesting aquatic resources,Ongoing,,,Low Impact: 3,
133692,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,
133692,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,
133692,5.4.6,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
133692,6.1,Recreational activities,Ongoing,,,Low Impact: 3,
133692,8.1,Invasive non-native/alien species/diseases,Ongoing,,,Low Impact: 3,
133692,8.1.1,Unspecified species,Ongoing,,,Low Impact: 3,
133692,8.2,Problematic native species/diseases,Ongoing,,,Low Impact: 3,
133692,8.2.1,Unspecified species,Ongoing,,,Low Impact: 3,
133692,9.1,Domestic & urban waste water,Ongoing,,,Low Impact: 3,
133692,9.1.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
133692,9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,
133692,9.2.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
133692,9.3,Agricultural & forestry effluents,Ongoing,,,Low Impact: 3,
133692,9.3.2,"Soil erosion, sedimentation",Ongoing,,,Low Impact: 3,
133692,9.3.4,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
133692,9.5,Air-borne pollutants,Ongoing,,,Low Impact: 3,
133692,9.5.3,Ozone,Ongoing,,,Low Impact: 3,
134718,1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,
134718,1.2,Commercial & industrial areas,Ongoing,,,Low Impact: 3,
134718,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
134718,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
134718,9.1,Domestic & urban waste water,Ongoing,,,Low Impact: 3,
134718,9.1.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
134718,9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,
134718,9.2.3,Type Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
134327,1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,
134327,1.2,Commercial & industrial areas,Ongoing,,,Low Impact: 3,
134327,5.4,Fishing & harvesting aquatic resources,Ongoing,,,Low Impact: 3,
134327,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,
134327,8.1,Invasive non-native/alien species/diseases,Ongoing,,,Low Impact: 3,
134327,8.1.1,Unspecified species,Ongoing,,,Low Impact: 3,
134415,1.1,Housing & urban areas,Ongoing,,,Low Impact: 3,
134415,1.2,Commercial & industrial areas,Ongoing,,,Low Impact: 3,
134415,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
134415,2.1.4,Scale Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
134415,3.2,Mining & quarrying,Ongoing,,,Low Impact: 3,
134415,5.4,Fishing & harvesting aquatic resources,Ongoing,,,Low Impact: 3,
134415,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,,,Low Impact: 3,
134415,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,,,Low Impact: 3,
134415,8.1,Invasive non-native/alien species/diseases,Ongoing,,,Low Impact: 3,
134415,8.1.1,Unspecified species,Ongoing,,,Low Impact: 3,
134415,9.2,Industrial & military effluents,Ongoing,,,Low Impact: 3,
134415,9.2.2,Seepage from mining,Ongoing,,,Low Impact: 3,
181879,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
181879,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
16212,2.1,Annual & perennial non-timber crops,Ongoing,,,Low Impact: 3,
16212,2.1.1,Shifting agriculture,Ongoing,,,Low Impact: 3,
16212,2.1.2,Small-holder farming,Ongoing,,,Low Impact: 3,
16212,5.1,Hunting & trapping terrestrial animals,Ongoing,,,Low Impact: 3,
16212,5.1.1,Intentional use (species is the target),Ongoing,,,Low Impact: 3,
16212,5.3,Logging & wood harvesting,Ongoing,,,Low Impact: 3,
16212,5.3.5,Motivation Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
16212,7.1,Fire & fire suppression,Ongoing,,,Low Impact: 3,
16212,7.1.3,Trend Unknown/Unrecorded,Ongoing,,,Low Impact: 3,
22704493,1.1,Housing & urban areas,Ongoing,Minority (<50%),No decline,Low Impact: 4,
22704493,11.2,Droughts,Ongoing,Whole (>90%),"Slow, Significant Declines",Medium Impact: 7,
22704493,2.3,Livestock farming & ranching,Ongoing,Minority (<50%),No decline,Low Impact: 4,
22704493,2.3.3,"Agro-industry grazing, ranching or farming",Ongoing,Minority (<50%),No decline,Low Impact: 4,
22704493,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22704493,5.3.4,Unintentional effects: (large scale) [harvest],Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
22704493,7.1,Fire & fire suppression,Future,Majority (50-90%),"Slow, Significant Declines",Low Impact: 4,
22704493,7.1.3,Trend Unknown/Unrecorded,Future,Majority (50-90%),"Slow, Significant Declines",Low Impact: 4,
22704493,8.1,Invasive non-native/alien species/diseases (Ovis aries),Ongoing,Minority (<50%),No decline,Low Impact: 4,Ovis aries
22704493,8.1.2,Named species (Ovis aries),Ongoing,Minority (<50%),No decline,Low Impact: 4,Ovis aries
22704493,8.2,Problematic native species/diseases,Ongoing,Majority (50-90%),"Slow, Significant Declines",Medium Impact: 6,
19672946,2.1,Annual & perennial non-timber crops,Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,
19672946,2.1.2,Small-holder farming,Ongoing,Minority (<50%),Negligible declines,Low Impact: 4,
19672946,5.3,Logging & wood harvesting,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
19672946,5.3.5,Motivation Unknown/Unrecorded,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
19672953,1.1,Housing & urban areas,Ongoing,Minority (<50%),"Slow, Significant Declines",Low Impact: 5,
19672953,2.1,Annual & perennial non-timber crops,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19672953,2.1.2,Small-holder farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19672953,2.1.3,Agro-industry farming,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19672953,5.3,Logging & wood harvesting,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
19672953,5.3.5,Motivation Unknown/Unrecorded,Ongoing,Majority (50-90%),Rapid Declines,Medium Impact: 7,
44501,5.4,Fishing & harvesting aquatic resources,Future,,,No/Negligible Impact: 1,
44501,5.4.1,Intentional use: (subsistence/small scale) [harvest],Future,,,No/Negligible Impact: 1,
44501,7.3,Other ecosystem modifications,Ongoing,,,Low Impact: 3,
